Time,Time_ubisense,txeui,seq,X,Y,Z
1510928787.916,1510928788.6245322227,1,183663,0.812,-1.003,0.500,
1510928787.936,1510928788.6475334167,1,183664,0.812,-1.003,0.500,
1510928787.966,1510928788.6745350361,1,183665,0.781,-1.004,0.500,
1510928787.986,1510928788.6995363235,1,183666,0.763,-0.999,0.500,
1510928788.006,1510928788.7185375690,1,183667,0.738,-1.002,0.500,
1510928788.037,1510928788.7495391369,1,183668,0.719,-0.999,0.500,
1510928788.067,1510928788.7745406628,1,183669,0.727,-0.996,0.500,
1510928788.087,1510928788.7995421886,1,183670,0.726,-0.999,0.500,
1510928788.117,1510928788.8235435486,1,183671,0.730,-0.997,0.500,
1510928788.136,1510928788.8485448360,1,183672,0.727,-0.998,0.500,
1510928788.167,1510928788.8735463619,1,183673,0.722,-0.992,0.499,
1510928788.187,1510928788.8995478153,1,183674,0.724,-0.972,0.497,
1510928788.227,1510928788.9255492687,1,183675,0.687,-0.925,0.500,
1510928788.237,1510928788.9505507946,1,183676,0.660,-0.884,0.500,
1510928788.267,1510928788.9815526009,1,183677,0.611,-0.880,0.500,
1510928788.287,1510928788.9995534420,1,183678,0.567,-0.881,0.500,
1510928788.317,1510928789.0325555801,1,183679,0.556,-0.843,0.500,
1510928788.337,1510928789.0495562553,1,183680,0.527,-0.845,0.500,
1510928788.367,1510928789.0745580196,1,183681,0.501,-0.839,0.500,
1510928788.386,1510928789.0995590687,1,183682,0.480,-0.834,0.500,
1510928788.427,1510928789.1245608330,1,183683,0.462,-0.819,0.500,
1510928788.437,1510928789.1495621204,1,183684,0.461,-0.794,0.500,
1510928788.467,1510928789.1745636463,1,183685,0.452,-0.777,0.500,
1510928788.497,1510928789.2005650997,1,183686,0.446,-0.758,0.500,
1510928788.513,1510928789.2195661068,1,183687,0.431,-0.763,0.500,
1510928788.517,1510928789.2255663872,1,183688,0.424,-0.758,0.500,
1510928788.547,1510928789.2555682659,1,183689,0.423,-0.754,0.500,
1510928788.567,1510928789.2795696259,1,183690,0.423,-0.746,0.499,
1510928788.597,1510928789.3045711517,1,183691,0.418,-0.741,0.500,
1510928788.617,1510928789.3295724392,1,183692,0.420,-0.726,0.500,
1510928788.647,1510928789.3545739651,1,183693,0.421,-0.718,0.499,
1510928788.667,1510928789.3785750866,1,183694,0.419,-0.705,0.500,
1510928788.697,1510928789.4055767059,1,183695,0.419,-0.697,0.500,
1510928788.717,1510928789.4295780659,1,183696,0.428,-0.683,0.500,
1510928788.747,1510928789.4555795193,1,183697,0.435,-0.663,0.500,
1510928788.767,1510928789.4795811176,1,183698,0.449,-0.663,0.498,
1510928788.797,1510928789.5045824051,1,183699,0.461,-0.663,0.498,
1510928788.817,1510928789.5295839310,1,183700,0.475,-0.653,0.500,
1510928788.847,1510928789.5535850525,1,183701,0.484,-0.652,0.500,
1510928788.867,1510928789.5795867443,1,183702,0.505,-0.646,0.500,
1510928788.897,1510928789.6045880318,1,183703,0.520,-0.634,0.500,
1510928788.917,1510928789.6295895576,1,183704,0.540,-0.619,0.500,
1510928788.938,1510928789.6545910835,1,183705,0.567,-0.615,0.500,
1510928788.967,1510928789.6795923710,1,183706,0.591,-0.610,0.500,
1510928789.007,1510928789.7045938969,1,183707,0.619,-0.603,0.500,
1510928789.017,1510928789.7295954227,1,183708,0.638,-0.592,0.500,
1510928789.047,1510928789.7545967102,1,183709,0.660,-0.579,0.500,
1510928789.067,1510928789.7785980701,1,183710,0.685,-0.567,0.500,
1510928789.097,1510928789.8045995235,1,183711,0.703,-0.554,0.500,
1510928789.117,1510928789.8286008835,1,183712,0.721,-0.543,0.500,
1510928789.147,1510928789.8546023369,1,183713,0.728,-0.525,0.500,
1510928789.167,1510928789.8796038628,1,183714,0.739,-0.514,0.500,
1510928789.197,1510928789.9046053886,1,183715,0.749,-0.501,0.500,
1510928789.217,1510928789.9296066761,1,183716,0.749,-0.470,0.495,
1510928789.247,1510928789.9556083679,1,183717,0.755,-0.459,0.496,
1510928789.267,1510928789.9796094894,1,183718,0.749,-0.429,0.491,
1510928789.297,1510928790.0056111813,1,183719,0.760,-0.425,0.488,
1510928789.317,1510928790.0286123753,1,183720,0.770,-0.422,0.484,
1510928789.346,1510928790.0556139946,1,183721,0.761,-0.389,0.476,
1510928789.367,1510928790.0796153545,1,183722,0.753,-0.364,0.473,
1510928789.397,1510928790.1046166420,1,183723,0.769,-0.374,0.461,
1510928789.416,1510928790.1296184063,1,183724,0.784,-0.379,0.456,
