Time,Time_ubisense,txeui,seq,X,Y,Z
1510937284.851,1510937285.6954309940,1,209383,1.510,-1.154,0.500,
1510937284.871,1510937285.7194323540,1,209384,1.500,-1.135,0.500,
1510937284.891,1510937285.7454338074,1,209385,1.497,-1.120,0.500,
1510937284.921,1510937285.7694351673,1,209386,1.493,-1.101,0.500,
1510937284.952,1510937285.7954366207,1,209387,1.483,-1.089,0.500,
1510937284.971,1510937285.8194379807,1,209388,1.485,-1.081,0.500,
1510937284.991,1510937285.8454394341,1,209389,1.491,-1.050,0.500,
1510937285.032,1510937285.8694407940,1,209390,1.488,-1.042,0.500,
1510937285.053,1510937285.8944423199,1,209391,1.493,-1.022,0.500,
1510937285.072,1510937285.9204437733,1,209392,1.495,-1.022,0.500,
1510937285.102,1510937285.9454450607,1,209393,1.495,-1.017,0.500,
1510937285.122,1510937285.9694464207,1,209394,1.502,-0.999,0.500,
1510937285.152,1510937285.9944479465,1,209395,1.512,-0.995,0.500,
1510937285.172,1510937286.0204496384,1,209396,1.514,-0.995,0.500,
1510937285.192,1510937286.0444507599,1,209397,1.516,-0.997,0.500,
1510937285.222,1510937286.0704522133,1,209398,1.524,-1.000,0.500,
1510937285.242,1510937286.0944538116,1,209399,1.523,-0.996,0.500,
1510937285.272,1510937286.1164548397,1,209400,1.520,-1.003,0.500,
1510937285.292,1510937286.1454567909,1,209401,1.516,-0.994,0.500,
1510937285.322,1510937286.1694579124,1,209402,1.517,-0.996,0.500,
1510937285.343,1510937286.1944594383,1,209403,1.514,-0.999,0.500,
1510937285.372,1510937286.2184607983,1,209404,1.514,-0.999,0.500,
1510937285.392,1510937286.2444622517,1,209405,1.511,-1.003,0.500,
1510937285.422,1510937286.2714638710,1,209406,1.491,-0.985,0.500,
1510937285.442,1510937286.2884647846,1,209407,1.488,-0.986,0.500,
1510937285.452,1510937286.2924652100,1,209408,1.492,-0.981,0.500,
1510937285.472,1510937286.3244667053,1,209409,1.491,-0.981,0.500,
1510937285.502,1510937286.3494682312,1,209410,1.490,-0.981,0.500,
1510937285.532,1510937286.3744697571,1,209411,1.474,-0.977,0.500,
1510937285.553,1510937286.3994710445,1,209412,1.467,-0.971,0.500,
1510937285.572,1510937286.4254727364,1,209413,1.456,-0.967,0.500,
1510937285.602,1510937286.4494738579,1,209414,1.444,-0.966,0.500,
1510937285.622,1510937286.4754755497,1,209415,1.431,-0.972,0.500,
1510937285.652,1510937286.5004768372,1,209416,1.418,-0.978,0.500,
1510937285.672,1510937286.5224783421,1,209417,1.418,-0.978,0.500,
1510937285.702,1510937286.5504798889,1,209418,1.405,-0.976,0.500,
1510937285.722,1510937286.5764811039,1,209419,1.385,-0.964,0.500,
1510937285.752,1510937286.5994827747,1,209420,1.376,-0.964,0.500,
1510937285.772,1510937286.6254839897,1,209421,1.366,-0.963,0.500,
1510937285.812,1510937286.6494855881,1,209422,1.355,-0.970,0.500,
1510937285.832,1510937286.6744868755,1,209423,1.329,-0.959,0.500,
1510937285.852,1510937286.6994884014,1,209424,1.306,-0.949,0.500,
1510937285.873,1510937286.7244896889,1,209425,1.296,-0.954,0.500,
1510937285.914,1510937286.7504911423,1,209426,1.276,-0.942,0.500,
1510937285.934,1510937286.7754926682,1,209427,1.260,-0.948,0.500,
1510937285.954,1510937286.7994940281,1,209428,1.247,-0.955,0.500,
1510937285.975,1510937286.8254954815,1,209429,1.229,-0.960,0.500,
1510937285.994,1510937286.8404963017,1,209430,1.208,-0.955,0.500,
1510937286.024,1510937286.8744983673,1,209431,1.189,-0.968,0.500,
1510937286.054,1510937286.8994996548,1,209432,1.169,-0.980,0.500,
1510937286.074,1510937286.9235010147,1,209433,1.150,-0.993,0.500,
1510937286.104,1510937286.9495027065,1,209434,1.137,-0.990,0.500,
1510937286.124,1510937286.9745039940,1,209435,1.127,-0.989,0.500,
1510937286.154,1510937287.0005054474,1,209436,1.107,-0.988,0.500,
1510937286.174,1510937287.0255069733,1,209437,1.058,-0.955,0.500,
1510937286.204,1510937287.0505082607,1,209438,1.026,-0.969,0.500,
